IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
432;"FOR    ";"Fortaleza ";2015.2;Base de Dados Oceano Meteorológicas;0,45517014;N2
433;"FOR    ";"Fortaleza ";2015.2;Prevenção de Riscos;11,56238481;N5
434;"FOR    ";"Fortaleza ";2015.2;Ocorrência de Acidentes Ambientais;1,429044381;N4
435;"FOR    ";"Fortaleza ";2015.2;Ações de Retirada de Resíduos do Navio;6,362473903;N5
440;"FOR    ";"Fortaleza ";2015.2;Cargas Perigosas;3,181236951;N5
445;"FOR    ";"Fortaleza ";2015.2;Consumo e Eficiência no Uso de Energia;1,503026407;N3
449;"FOR    ";"Fortaleza ";2015.2;Tipos de Energia Utilizados;0,449711874;N3
450;"FOR    ";"Fortaleza ";2015.2;Fornecimento de Energia para Embarcações;0,074078302;N2
456;"FOR    ";"Fortaleza ";2015.2;Comunicação das Ações Ambientais;0,300511017;N5
457;"FOR    ";"Fortaleza ";2015.2;Agenda Ambiental Local;1,472197306;N3
459;"FOR    ";"Fortaleza ";2015.2;Certificações Voluntárias;0;N1
460;"FOR    ";"Fortaleza ";2015.2;Papel da Autoridade Portuária;3,789571309;N5
469;"FOR    ";"Fortaleza ";2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
476;"FOR    ";"Fortaleza ";2015.2;Auditoria Ambiental dos Terminais;0,693282819;N5
481;"FOR    ";"Fortaleza ";2015.2;PGRS dos Terminais;1,020759603;N5
536;"FOR    ";"Fortaleza ";2015.2;Certificação das Empresas;0;N1
542;"FOR    ";"Fortaleza ";2015.2;Ações de Promoção da Saúde;0,826075021;N5
543;"FOR    ";"Fortaleza ";2015.2;Planos de Contingência de Saúde;1,019351309;N4
547;"FOR    ";"Fortaleza ";2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
548;"FOR    ";"Fortaleza ";2015.2;Drenagem Pluvial;0,247696378;N4
550;"FOR    ";"Fortaleza ";2015.2;Área Dragada e de Disposição;0,449508483;N2
556;"FOR    ";"Fortaleza ";2015.2;Passivos Ambientais;0,684828835;N4
557;"FOR    ";"Fortaleza ";2015.2;Poluentes Atmosféricos;0,170998791;N3
559;"FOR    ";"Fortaleza ";2015.2;PGRS;7,964752347;N5
564;"FOR    ";"Fortaleza ";2015.2;Monitoramento de Fauna e Flora;0,978458281;N3
578;"FOR    ";"Fortaleza ";2015.2;Espécies Exóticas/Invasoras;0;N1
859;"FOR    ";"Fortaleza ";2015.2;Licenciamento Ambiental;12,59039418;N3
866;"FOR    ";"Fortaleza ";2015.2;Quantidade e Qualidade dos Técnicos;0;N1
877;"FOR    ";"Fortaleza ";2015.2;Agenda Ambiental Institucional;0,790989479;N3
879;"FOR    ";"Fortaleza ";2015.2;Auditoria Ambiental;5,379711836;N3
905;"FOR    ";"Fortaleza ";2015.2;Animais Sinantrópicos;2,935374843;N5
910;"FOR    ";"Fortaleza ";2015.2;Promoção de Ações de EA;4,956450125;N3
1686;"SSO    ";São Sebastião;2015.2;Licenciamento Ambiental;15,07224371;N3
1692;"SSO    ";São Sebastião;2015.2;Treinamento e Capacitação Ambiental;2,090917833;N3
1699;"SSO    ";São Sebastião;2015.2;Auditoria Ambiental;6,440173894;N3
1707;"SSO    ";São Sebastião;2015.2;Ocorrência de Acidentes Ambientais;4,404092577;N5
1708;"SSO    ";São Sebastião;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
1709;"SSO    ";São Sebastião;2015.2;Quantidade e Qualidade dos Técnicos;4,23787275;N3
1711;"SSO    ";São Sebastião;2015.2;Ações de Retirada de Resíduos do Navio;11,0549169;N5
1713;"SSO    ";São Sebastião;2015.2;Consumo e Eficiência no Uso de Energia;1,773439708;N3
1714;"SSO    ";São Sebastião;2015.2;Tipos de Energia Utilizados;0,53062068;N3
1715;"SSO    ";São Sebastião;2015.2;Fornecimento de Energia para Embarcações;0;N1
1716;"SSO    ";São Sebastião;2015.2;Internalização dos Custos Ambientais;7,179028756;N5
1718;"SSO    ";São Sebastião;2015.2;Comunicação das Ações Ambientais;0,364069808;N5
1719;"SSO    ";São Sebastião;2015.2;Agenda Ambiental Local;1,783570522;N3
1720;"SSO    ";São Sebastião;2015.2;Agenda Ambiental Institucional;0,958285627;N3
1721;"SSO    ";São Sebastião;2015.2;Certificações Voluntárias;0,259181098;N4
1727;"SSO    ";São Sebastião;2015.2;Promoção de Ações de EA;4,956450125;N3
1728;"SSO    ";São Sebastião;2015.2;Ações de Promoção da Saúde;0,826075021;N5
1732;"SSO    ";São Sebastião;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
1733;"SSO    ";São Sebastião;2015.2;Drenagem Pluvial;0,404970051;N5
1734;"SSO    ";São Sebastião;2015.2;Ações para Redução e Reúso da Água;0,998742028;N3
1735;"SSO    ";São Sebastião;2015.2;Área Dragada e de Disposição;1,235339539;N3
1736;"SSO    ";São Sebastião;2015.2;Passivos Ambientais;1,235339539;N5
1737;"SSO    ";São Sebastião;2015.2;Poluentes Atmosféricos;1,101805927;N5
1743;"SSO    ";São Sebastião;2015.2;Poluição Sonora;0,367268642;N3
1744;"SSO    ";São Sebastião;2015.2;PGRS;7,964752347;N5
1746;"SSO    ";São Sebastião;2015.2;Monitoramento de Fauna e Flora;0,978458281;N3
1747;"SSO    ";São Sebastião;2015.2;Animais Sinantrópicos;2,935374843;N5
1748;"SSO    ";São Sebastião;2015.2;Espécies Exóticas/Invasoras;0,978458281;N3
1749;"SSO    ";São Sebastião;2015.2;Planos de Contingência de Saúde;1,652150042;N5
1750;"SSO    ";São Sebastião;2015.2;Prevenção de Riscos;13,15768092;N5
2653;"VDC    ";Vila do Conde;2015.2;Licenciamento Ambiental;12,59039418;N3
2657;"VDC    ";Vila do Conde;2015.2;Quantidade e Qualidade dos Técnicos;0;N1
2659;"VDC    ";Vila do Conde;2015.2;Treinamento e Capacitação Ambiental;0,460290292;N2
2660;"VDC    ";Vila do Conde;2015.2;Auditoria Ambiental;1,417726452;N2
2661;"VDC    ";Vila do Conde;2015.2;Base de Dados Oceano Meteorológicas;0;N1
2667;"VDC    ";Vila do Conde;2015.2;Ocorrência de Acidentes Ambientais;1,429044381;N4
2668;"VDC    ";Vila do Conde;2015.2;Ações de Retirada de Resíduos do Navio;6,362473903;N5
2673;"VDC    ";Vila do Conde;2015.2;Cargas Perigosas;3,181236951;N5
2678;"VDC    ";Vila do Conde;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
2679;"VDC    ";Vila do Conde;2015.2;Tipos de Energia Utilizados;0;N1
2680;"VDC    ";Vila do Conde;2015.2;Fornecimento de Energia para Embarcações;0;N1
2681;"VDC    ";Vila do Conde;2015.2;Internalização dos Custos Ambientais;0;N1
2682;"VDC    ";Vila do Conde;2015.2;Comunicação das Ações Ambientais;0,203819368;N4
2683;"VDC    ";Vila do Conde;2015.2;Agenda Ambiental Local;0;N1
2684;"VDC    ";Vila do Conde;2015.2;Agenda Ambiental Institucional;0;N1
2685;"VDC    ";Vila do Conde;2015.2;Certificações Voluntárias;0;N1
2694;"VDC    ";Vila do Conde;2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
2695;"VDC    ";Vila do Conde;2015.2;PEI dos Terminais;0,803985534;N4
2696;"VDC    ";Vila do Conde;2015.2;Auditoria Ambiental dos Terminais;0,126856262;N3
2697;"VDC    ";Vila do Conde;2015.2;PGRS dos Terminais;0,541042143;N4
2698;"VDC    ";Vila do Conde;2015.2;Certificação das Empresas;0,058319584;N3
2699;"VDC    ";Vila do Conde;2015.2;Programa de EA nos Terminais;0,119717053;N3
2700;"VDC    ";Vila do Conde;2015.2;Promoção de Ações de EA;1,306183429;N2
2708;"VDC    ";Vila do Conde;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
2709;"VDC    ";Vila do Conde;2015.2;Drenagem Pluvial;0,068742829;N2
2710;"VDC    ";Vila do Conde;2015.2;Ações para Redução e Reúso da Água;0;N1
2711;"VDC    ";Vila do Conde;2015.2;Área Dragada e de Disposição;0;N1
2712;"VDC    ";Vila do Conde;2015.2;Passivos Ambientais;1,235339539;N5
2713;"VDC    ";Vila do Conde;2015.2;Poluentes Atmosféricos;1,101805927;N5
2714;"VDC    ";Vila do Conde;2015.2;Poluição Sonora;0,106424822;N2
2715;"VDC    ";Vila do Conde;2015.2;PGRS;7,964752347;N5
2720;"VDC    ";Vila do Conde;2015.2;Monitoramento de Fauna e Flora;0,25785511;N2
2721;"VDC    ";Vila do Conde;2015.2;Animais Sinantrópicos;1,691260229;N4
2725;"VDC    ";Vila do Conde;2015.2;Espécies Exóticas/Invasoras;0;N1
2843;"BEL    ";Belém;2015.2;Fornecimento de Energia para Embarcações;0;N1
2848;"BEL    ";Belém;2015.2;Agenda Ambiental Institucional;0;N1
2849;"BEL    ";Belém;2015.2;Certificações Voluntárias;0;N1
2862;"BEL    ";Belém;2015.2;Certificação das Empresas;0,014747905;N2
2863;"BEL    ";Belém;2015.2;Programa de EA nos Terminais;0,119717053;N3
2864;"BEL    ";Belém;2015.2;Promoção de Ações de EA;1,306183429;N2
2867;"BEL    ";Belém;2015.2;Ações de Promoção da Saúde;0,826075021;N5
2878;"BEL    ";Belém;2015.2;Drenagem Pluvial;0,068742829;N2
2885;"BEL    ";Belém;2015.2;Ações para Redução e Reúso da Água;0;N1
2886;"BEL    ";Belém;2015.2;Área Dragada e de Disposição;0;N1
2888;"BEL    ";Belém;2015.2;Passivos Ambientais;1,235339539;N5
2890;"BEL    ";Belém;2015.2;Poluentes Atmosféricos;0;N1
2891;"BEL    ";Belém;2015.2;Poluição Sonora;0,106424822;N2
2893;"BEL    ";Belém;2015.2;PGRS;7,964752347;N5
2898;"BEL    ";Belém;2015.2;Monitoramento de Fauna e Flora;0,25785511;N2
2900;"BEL    ";Belém;2015.2;Animais Sinantrópicos;1,691260229;N4
2904;"BEL    ";Belém;2015.2;Espécies Exóticas/Invasoras;0;N1
2993;"BEL    ";Belém;2015.2;Licenciamento Ambiental;12,59039418;N3
2997;"BEL    ";Belém;2015.2;Quantidade e Qualidade dos Técnicos;0;N1
2999;"BEL    ";Belém;2015.2;Treinamento e Capacitação Ambiental;0,460290292;N2
3000;"BEL    ";Belém;2015.2;Auditoria Ambiental;1,417726452;N2
3002;"BEL    ";Belém;2015.2;Base de Dados Oceano Meteorológicas;1,727190873;N3
3008;"BEL    ";Belém;2015.2;Ocorrência de Acidentes Ambientais;3,870120688;N5
3009;"BEL    ";Belém;2015.2;Ações de Retirada de Resíduos do Navio;9,543710854;N5
3014;"BEL    ";Belém;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
3015;"BEL    ";Belém;2015.2;Tipos de Energia Utilizados;0;N1
3016;"BEL    ";Belém;2015.2;Internalização dos Custos Ambientais;0;N1
3017;"BEL    ";Belém;2015.2;Comunicação das Ações Ambientais;0,203819368;N4
3018;"BEL    ";Belém;2015.2;Agenda Ambiental Local;0;N1
3019;"BEL    ";Belém;2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
3020;"BEL    ";Belém;2015.2;PEI dos Terminais;0,803985534;N4
3021;"BEL    ";Belém;2015.2;Auditoria Ambiental dos Terminais;0,032079518;N2
3022;"BEL    ";Belém;2015.2;PGRS dos Terminais;0,541042143;N4
3023;"BEL    ";Belém;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
3241;"STM    ";Santarém;2015.2;Espécies Exóticas/Invasoras;0;N1
3242;"STM    ";Santarém;2015.2;Animais Sinantrópicos;1,691260229;N4
3246;"STM    ";Santarém;2015.2;Monitoramento de Fauna e Flora;0,25785511;N2
3247;"STM    ";Santarém;2015.2;PGRS;7,964752347;N5
3256;"STM    ";Santarém;2015.2;Poluição Sonora;0,106424822;N2
3257;"STM    ";Santarém;2015.2;Poluentes Atmosféricos;0;N1
3258;"STM    ";Santarém;2015.2;Passivos Ambientais;1,235339539;N5
3259;"STM    ";Santarém;2015.2;Área Dragada e de Disposição;0;N1
3260;"STM    ";Santarém;2015.2;Ações para Redução e Reúso da Água;0;N1
3263;"STM    ";Santarém;2015.2;Drenagem Pluvial;0,068742829;N2
3264;"STM    ";Santarém;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
3265;"STM    ";Santarém;2015.2;Ações de Promoção da Saúde;2,478225063;N5
3266;"STM    ";Santarém;2015.2;Promoção de Ações de EA;4,956450125;N3
3270;"STM    ";Santarém;2015.2;Programa de EA nos Terminais;0,030274149;N2
3271;"STM    ";Santarém;2015.2;Certificação das Empresas;0,16893536;N4
3272;"STM    ";Santarém;2015.2;PGRS dos Terminais;0,541042143;N4
3273;"STM    ";Santarém;2015.2;Auditoria Ambiental dos Terminais;0,126856262;N3
3274;"STM    ";Santarém;2015.2;PEI dos Terminais;1,516842941;N5
3275;"STM    ";Santarém;2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
3284;"STM    ";Santarém;2015.2;Certificações Voluntárias;0;N1
3285;"STM    ";Santarém;2015.2;Agenda Ambiental Institucional;0;N1
3286;"STM    ";Santarém;2015.2;Agenda Ambiental Local;0;N1
3287;"STM    ";Santarém;2015.2;Comunicação das Ações Ambientais;0,203819368;N4
3288;"STM    ";Santarém;2015.2;Internalização dos Custos Ambientais;0;N1
3289;"STM    ";Santarém;2015.2;Fornecimento de Energia para Embarcações;0;N1
3290;"STM    ";Santarém;2015.2;Tipos de Energia Utilizados;0;N1
3291;"STM    ";Santarém;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
3292;"STM    ";Santarém;2015.2;Cargas Perigosas;0;N1
3293;"STM    ";Santarém;2015.2;Ações de Retirada de Resíduos do Navio;3,665834739;N4
3297;"STM    ";Santarém;2015.2;Ocorrência de Acidentes Ambientais;3,870120688;N5
3303;"STM    ";Santarém;2015.2;Base de Dados Oceano Meteorológicas;0;N1
3304;"STM    ";Santarém;2015.2;Auditoria Ambiental;1,417726452;N2
3306;"STM    ";Santarém;2015.2;Treinamento e Capacitação Ambiental;0,460290292;N2
3307;"STM    ";Santarém;2015.2;Quantidade e Qualidade dos Técnicos;0;N1
3309;"STM    ";Santarém;2015.2;Licenciamento Ambiental;12,59039418;N3
4003;"FNO    ";Forno;2015.2;Quantidade e Qualidade dos Técnicos;2,305298777;N2
4027;"FNO    ";Forno;2015.2;Treinamento e Capacitação Ambiental;0;N1
4030;"FNO    ";Forno;2015.2;Auditoria Ambiental;6,440173894;N3
4036;"FNO    ";Forno;2015.2;Base de Dados Oceano Meteorológicas;1,965496457;N3
4041;"FNO    ";Forno;2015.2;Prevenção de Riscos;7,580995149;N4
4042;"FNO    ";Forno;2015.2;Ocorrência de Acidentes Ambientais;4,404092577;N5
4043;"FNO    ";Forno;2015.2;Ações de Retirada de Resíduos do Navio;6,369456131;N4
4044;"FNO    ";Forno;2015.2;Consumo e Eficiência no Uso de Energia;0;"N2 "
4045;"FNO    ";Forno;2015.2;Tipos de Energia Utilizados;0;N1
4046;"FNO    ";Forno;2015.2;Fornecimento de Energia para Embarcações;0;N1
4047;"FNO    ";Forno;2015.2;Internalização dos Custos Ambientais;1,691036524;N3
4054;"FNO    ";Forno;2015.2;Agenda Ambiental Institucional;0,128005875;N2
4055;"FNO    ";Forno;2015.2;Certificações Voluntárias;0;N1
4056;"FNO    ";Forno;2015.2;Promoção de Ações de EA;1,306183429;N2
4060;"FNO    ";Forno;2015.2;Ações de Promoção da Saúde;2,478225063;N5
4061;"FNO    ";Forno;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
4062;"FNO    ";Forno;2015.2;Drenagem Pluvial;0,404970051;N5
4063;"FNO    ";Forno;2015.2;Ações para Redução e Reúso da Água;0,232161534;N2
4065;"FNO    ";Forno;2015.2;Passivos Ambientais;1,36965767;N4
4072;"FNO    ";Forno;2015.2;Poluentes Atmosféricos;0,059214839;N2
4075;"FNO    ";Forno;2015.2;Poluição Sonora;0,367268642;N3
4079;"FNO    ";Forno;2015.2;PGRS;7,964752347;N5
4080;"FNO    ";Forno;2015.2;Monitoramento de Fauna e Flora;0,978458281;N3
4082;"FNO    ";Forno;2015.2;Animais Sinantrópicos;0,268842915;N2
4091;"FNO    ";Forno;2015.2;Agenda Ambiental Local;0,238245778;N2
4092;"FNO    ";Forno;2015.2;Licenciamento Ambiental;15,07224371;N3
4102;"FNO    ";Forno;2015.2;Espécies Exóticas/Invasoras;0,978458281;N3
4257;"SUA    ";"Suape ";2015.2;Licenciamento Ambiental;12,59039418;N3
4261;"SUA    ";"Suape ";2015.2;Quantidade e Qualidade dos Técnicos;3,540049473;N3
4263;"SUA    ";"Suape ";2015.2;Treinamento e Capacitação Ambiental;1,746619828;N3
4264;"SUA    ";"Suape ";2015.2;Auditoria Ambiental;5,379711836;N3
4266;"SUA    ";"Suape ";2015.2;Base de Dados Oceano Meteorológicas;1,727190873;N3
4270;"SUA    ";"Suape ";2015.2;Prevenção de Riscos;6,661841377;N4
4275;"SUA    ";"Suape ";2015.2;Ocorrência de Acidentes Ambientais;1,429044381;N4
4277;"SUA    ";"Suape ";2015.2;Ações de Retirada de Resíduos do Navio;6,362473903;N5
4282;"SUA    ";"Suape ";2015.2;Cargas Perigosas;3,181236951;N5
4287;"SUA    ";"Suape ";2015.2;Consumo e Eficiência no Uso de Energia;1,503026407;N3
4291;"SUA    ";"Suape ";2015.2;Tipos de Energia Utilizados;0,449711874;N3
4292;"SUA    ";"Suape ";2015.2;Fornecimento de Energia para Embarcações;0;N1
4293;"SUA    ";"Suape ";2015.2;Internalização dos Custos Ambientais;3,074312935;N4
4297;"SUA    ";"Suape ";2015.2;Comunicação das Ações Ambientais;0,300511017;N5
4305;"SUA    ";"Suape ";2015.2;Agenda Ambiental Local;0;N1
4306;"SUA    ";"Suape ";2015.2;Agenda Ambiental Institucional;0;N1
4307;"SUA    ";"Suape ";2015.2;Certificações Voluntárias;0,02307696;N2
4308;"SUA    ";"Suape ";2015.2;Papel da Autoridade Portuária;3,789571309;N5
4316;"ADR    ";"Angra dos Reis ";2015.2;Auditoria Ambiental;5,379711836;N3
4318;"SUA    ";"Suape ";2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
4319;"SUA    ";"Suape ";2015.2;PEI dos Terminais;1,516842941;N5
4320;"SUA    ";"Suape ";2015.2;Auditoria Ambiental dos Terminais;0,367466758;N4
4321;"SUA    ";"Suape ";2015.2;PGRS dos Terminais;1,020759603;N5
4323;"SUA    ";"Suape ";2015.2;Certificação das Empresas;0,16893536;N4
4324;"SUA    ";"Suape ";2015.2;Programa de EA nos Terminais;0,654266288;N5
4325;"SUA    ";"Suape ";2015.2;Promoção de Ações de EA;4,956450125;N3
4329;"SUA    ";"Suape ";2015.2;Ações de Promoção da Saúde;0,826075021;N5
4330;"SUA    ";"Suape ";2015.2;Planos de Contingência de Saúde;1,652150042;N5
4335;"SUA    ";"Suape ";2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
4336;"SUA    ";"Suape ";2015.2;Drenagem Pluvial;0,247696378;N4
4337;"SUA    ";"Suape ";2015.2;Ações para Redução e Reúso da Água;0,232161534;N2
4338;"SUA    ";"Suape ";2015.2;Área Dragada e de Disposição;1,235339539;N3
4339;"SUA    ";"Suape ";2015.2;Passivos Ambientais;1,235339539;N5
4341;"SUA    ";"Suape ";2015.2;Poluentes Atmosféricos;0;N1
4342;"SUA    ";"Suape ";2015.2;Poluição Sonora;0,367268642;N3
4343;"SUA    ";"Suape ";2015.2;PGRS;7,964752347;N5
4348;"SUA    ";"Suape ";2015.2;Monitoramento de Fauna e Flora;0,978458281;N3
4349;"SUA    ";"Suape ";2015.2;Animais Sinantrópicos;2,935374843;N5
4359;"SUA    ";"Suape ";2015.2;Espécies Exóticas/Invasoras;0,356035959;N2
4552;"ADR    ";"Angra dos Reis ";2015.2;Ações de Retirada de Resíduos do Navio;5,498752108;N4
4561;"ADR    ";"Angra dos Reis ";2015.2;Consumo e Eficiência no Uso de Energia;1,503026407;N3
4565;"ADR    ";"Angra dos Reis ";2015.2;Tipos de Energia Utilizados;0;N1
4566;"ADR    ";"Angra dos Reis ";2015.2;Fornecimento de Energia para Embarcações;0;N1
4622;"ADR    ";"Angra dos Reis ";2015.2;Papel da Autoridade Portuária;3,789571309;N5
4632;"ADR    ";"Angra dos Reis ";2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
4633;"ADR    ";"Angra dos Reis ";2015.2;PEI dos Terminais;1,516842941;N5
4685;"ADR    ";"Angra dos Reis ";2015.2;PGRS dos Terminais;1,020759603;N5
4687;"ADR    ";"Angra dos Reis ";2015.2;Programa de EA nos Terminais;0,654266288;N5
4712;"ADR    ";"Angra dos Reis ";2015.2;Drenagem Pluvial;0;N1
4713;"ADR    ";"Angra dos Reis ";2015.2;Ações para Redução e Reúso da Água;0,998742028;N3
4714;"ADR    ";"Angra dos Reis ";2015.2;Área Dragada e de Disposição;1,235339539;N3
4715;"ADR    ";"Angra dos Reis ";2015.2;Passivos Ambientais;0,684828835;N4
4716;"ADR    ";"Angra dos Reis ";2015.2;Poluentes Atmosféricos;0,170998791;N3
4717;"ADR    ";"Angra dos Reis ";2015.2;Poluição Sonora;0,367268642;N3
4718;"ADR    ";"Angra dos Reis ";2015.2;PGRS;7,964752347;N5
4746;"IGI    ";Itaguaí;2015.2;Cargas Perigosas;1,832917369;N4
4763;"ADR    ";"Angra dos Reis ";2015.2;Internalização dos Custos Ambientais;5,970455341;N5
4807;"ADR    ";"Angra dos Reis ";2015.2;Certificação das Empresas;0,31872266;N5
4874;"IGI    ";Itaguaí;2015.2;PGRS;2,52059979;N3
5360;"NTR    ";Niterói;2015.2;Licenciamento Ambiental;12,59039418;N3
5375;"NTR    ";Niterói;2015.2;Quantidade e Qualidade dos Técnicos;1,925700038;N2
5382;"NTR    ";Niterói;2015.2;Treinamento e Capacitação Ambiental;1,746619828;N3
5385;"NTR    ";Niterói;2015.2;Auditoria Ambiental;5,379711836;N3
5389;"ITJ    ";Itajaí;2015.2;Qualidade Ambiental do Corpo Hídrico;2,463109649;N5
5390;"ITJ    ";Itajaí;2015.2;Drenagem Pluvial;0,068742829;N2
5391;"ITJ    ";Itajaí;2015.2;Ações para Redução e Reúso da Água;0,998742028;N3
5392;"ITJ    ";Itajaí;2015.2;Área Dragada e de Disposição;1,235339539;N3
5393;"ITJ    ";Itajaí;2015.2;Passivos Ambientais;1,235339539;N5
5394;"ITJ    ";Itajaí;2015.2;Poluentes Atmosféricos;1,101805927;N5
5395;"ITJ    ";Itajaí;2015.2;Poluição Sonora;0,367268642;N3
5396;"ITJ    ";Itajaí;2015.2;PGRS;7,964752347;N5
5397;"ITJ    ";Itajaí;2015.2;Monitoramento de Fauna e Flora;0,978458281;N3
5399;"ITJ    ";Itajaí;2015.2;Animais Sinantrópicos;2,935374843;N5
5410;"NTR    ";Niterói;2015.2;Base de Dados Oceano Meteorológicas;0;N1
5417;"ITJ    ";Itajaí;2015.2;Espécies Exóticas/Invasoras;0,978458281;N3
5418;"ITJ    ";Itajaí;2015.2;Licenciamento Ambiental;12,59039418;N3
5429;"ITJ    ";Itajaí;2015.2;Treinamento e Capacitação Ambiental;1,746619828;N3
5430;"ITJ    ";Itajaí;2015.2;Auditoria Ambiental;5,379711836;N3
5432;"ITJ    ";Itajaí;2015.2;Base de Dados Oceano Meteorológicas;1,727190873;N3
5433;"ITJ    ";Itajaí;2015.2;Prevenção de Riscos;11,56238481;N5
5439;"ITJ    ";Itajaí;2015.2;Ocorrência de Acidentes Ambientais;3,870120688;N5
5442;"ITJ    ";Itajaí;2015.2;Ações de Retirada de Resíduos do Navio;6,362473903;N5
5448;"ITJ    ";Itajaí;2015.2;Cargas Perigosas;3,181236951;N5
5452;"ITJ    ";Itajaí;2015.2;Consumo e Eficiência no Uso de Energia;1,503026407;N3
5457;"ITJ    ";Itajaí;2015.2;Tipos de Energia Utilizados;0,449711874;N3
5458;"ITJ    ";Itajaí;2015.2;Fornecimento de Energia para Embarcações;0;N1
5459;"ITJ    ";Itajaí;2015.2;Internalização dos Custos Ambientais;5,970455341;N5
5465;"ITJ    ";Itajaí;2015.2;Comunicação das Ações Ambientais;0,300511017;N5
5466;"ITJ    ";Itajaí;2015.2;Agenda Ambiental Local;1,472197306;N3
5467;"ITJ    ";Itajaí;2015.2;Agenda Ambiental Institucional;0,790989479;N3
5468;"ITJ    ";Itajaí;2015.2;Certificações Voluntárias;0;N1
5471;"ITJ    ";Itajaí;2015.2;Papel da Autoridade Portuária;3,789571309;N5
5480;"ITJ    ";Itajaí;2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
5481;"ITJ    ";Itajaí;2015.2;PEI dos Terminais;1,516842941;N5
5482;"ITJ    ";Itajaí;2015.2;Auditoria Ambiental dos Terminais;0;N1
5484;"ITJ    ";Itajaí;2015.2;PGRS dos Terminais;1,020759603;N5
5485;"ITJ    ";Itajaí;2015.2;Certificação das Empresas;0;N1
5486;"ITJ    ";Itajaí;2015.2;Programa de EA nos Terminais;0,654266288;N5
5487;"ITJ    ";Itajaí;2015.2;Promoção de Ações de EA;4,956450125;N3
5491;"ITJ    ";Itajaí;2015.2;Ações de Promoção da Saúde;0,826075021;N5
5492;"ITJ    ";Itajaí;2015.2;Planos de Contingência de Saúde;1,019351309;N4
5521;"NTR    ";Niterói;2015.2;Prevenção de Riscos;6,661841377;N4
5532;"NTR    ";Niterói;2015.2;Ocorrência de Acidentes Ambientais;1,429044381;N4
5824;"NTR    ";Niterói;2015.2;Cargas Perigosas;1,832917369;N4
5828;"NTR    ";Niterói;2015.2;Fornecimento de Energia para Embarcações;0;N1
5829;"NTR    ";Niterói;2015.2;Tipos de Energia Utilizados;0;N1
5830;"NTR    ";Niterói;2015.2;Consumo e Eficiência no Uso de Energia;0;"N2 "
5836;"NTR    ";Niterói;2015.2;Internalização dos Custos Ambientais;5,970455341;N5
5851;"NTR    ";Niterói;2015.2;Certificações Voluntárias;0;N1
5899;"NTR    ";Niterói;2015.2;Papel da Autoridade Portuária;3,789571309;N5
5910;"NTR    ";Niterói;2015.2;"Licenciamento Ambiental das Empresas ";2,722464478;N5
5913;"NTR    ";Niterói;2015.2;PEI dos Terminais;1,516842941;N5
5915;"NTR    ";Niterói;2015.2;Auditoria Ambiental dos Terminais;0,693282819;N5
5921;"NTR    ";Niterói;2015.2;PGRS dos Terminais;1,020759603;N5
5939;"NTR    ";Niterói;2015.2;Certificação das Empresas;0,31872266;N5
5940;"NTR    ";Niterói;2015.2;Programa de EA nos Terminais;0;N1
5978;"RIG    ";"Rio Grande ";2015.2;Treinamento e Capacitação Ambiental;1,746619828;N3
5988;"RIG    ";"Rio Grande ";2015.2;Auditoria Ambiental;5,379711836;N3
5990;"RIG    ";"Rio Grande ";2015.2;Base de Dados Oceano Meteorológicas;1,727190873;N3
5991;"RIG    ";"Rio Grande ";2015.2;Prevenção de Riscos;6,661841377;N4
5996;"RIG    ";"Rio Grande ";2015.2;Ocorrência de Acidentes Ambientais;1,429044381;N4
5997;"RIG    ";"Rio Grande ";2015.2;Ações de Retirada de Resíduos do Navio;6,362473903;N5
6002;"RIG    ";"Rio Grande ";2015.2;Cargas Perigosas;3,181236951;N5
6007;"RIG    ";"Rio Grande ";2015.2;Consumo e Eficiência no Uso de Energia;0;N1
6013;"RIG    ";"Rio Grande ";2015.2;Tipos de Energia Utilizados;0;N1
6014;"RIG    ";"Rio Grande ";2015.2;Fornecimento de Energia para Embarcações;0;N1
6015;"RIG    ";"Rio Grande ";2015.2;Internalização dos Custos Ambientais;1,406354312;N3
6021;"RIG    ";"Rio Grande ";2015.2;Certificações Voluntárias;0;N1
